Wikidata ID,context,topoi,bct,nlab
Q44649,,Left ideal,,
Q858223,,Limit point,,Limit point
Q1052761,,Local homeomorphism,,Local homeomorphism
Q1762213,,Locally constant function,,Locally constant function
Q220433,,Logically equivalent,,Logical equivalence
Q845691,,Logicism,,
Q834585,,Lower semilattice,,Semilattice
Q6269005,,Meet,,
Q18629142,,Member,,
Q193983,,Metalanguage,,Metalanguage
Q1475294,,Minimal element,,Maximal element
Q845060,,Minimum,,Extremum
Q210841,,Modal logic,,Modal logic
Q638442,,Modal operator,,
Q7449424,,Monoid action,,
Q208237,,Monoid homomorphism,,Submonoid
Q194404,,Monotone function,,Monotone function
Q15947602,,Natural map,,
Q21199,,Natural number,,Natural number
Q6980740,,Natural numbers object,,Natural numbers object
Q190558,,Negation,,Negation
Q2478475,,Neighbourhood,,
Q4347052,,Object language,,
Q529641,,One-one,,
Q229102,,Onto,,Surjection
Q830486,,Open formula,,
Q213363,,Open set,,
Q24175351,,Order relation,,Order theory
Q191290,,Ordered pair,,Ordered pair
Q191780,,Ordinal,,Ordinal number
Q842755,,Peano Postulate,,Peano arithmetic
Q44946,,Point,,
Q474715,,Poset,,Strict order
Q4391173,,Power object,Exponential,Power object
Q205170,,Power set,Power set,Power set
Q1077811,,Powerset axiom,,
Q1425985,,Preorder,,Quasiorder
Q7242162,,Pretopology,,Pretopological space
Q1570472,,Primitive recursion,,
Q13443840,,Product category,Product category,Product category
Q173740,,Product set,,Cartesian square
Q13415428,,Projection,Projection,Coordinate projection
Q18345290,,Pseudo-complement,,
Q1806121,,Range,,
Q12916,,Real number,,Real number
Q7301281,,Realisation,,
Q2136742,,Reflexive,,
Q470981,,Regularity axiom,,Axiom of foundation
Q1617044,,Relative pseudo-complement,,Heyting algebra
Q1361825,,Replacement axiom,,Axiom of replacement
Q1308999,,Restriction,,
Q9588,,Richard Nixon,,
Q1068763,,Rule of inference,,
Q33401,,Russell set,,Russell's paradox
Q421639,,Satisfaction,,
Q17103180,,Section,Section,Split monomorphism
Q394320,,Selection,,
Q348486,,Sentence,,Sentence
Q2271572,,Separation principle,,
Q843632,,Sequent,,Sequent
Q2518298,,Set,Set,
Q379825,,Set membership,,Membership relation
Q12482,,Set theory,,Set theory
Q5572389,,Sheafification,,Sheafification
Q7511782,,Sieve,,
Q1165112,,Singleton,,
Q1062242,,Site,,Étale site
Q246475,,Sober,,
Q347599,,Sort,,
Q224772,,Source,,Source
Q17103642,,Stalk,,
Q6035663,,Standard model,,
Q1724688,,Strict,,
Q7631737,,Subobject classifier,,Subobject classifier
Q177646,,Subset,,Subset
Q40754,,Subtraction,,Subtraction
Q7632653,,Successor function,,
Q875267,,Sufficient,,
Q1136376,,Support,,Support of a function
Q12485,,Symmetric,,Symmetry
Q230479,,Target,,Target
Q13560073,,Tautology,,Tautology
Q1318370,,Term,,
Q17988630,,Theory,,
Q42989,,Topology,,Topology
Q1501387,,Transitive closure,,Transitive closure
Q64861,,Transitive relation,,Transitive relation
Q671944,,Transitive set,,Transitive set
Q272735,,Tree,,
Q913874,,Truth-function,,
Q185359,,Union of sets,,
Q784645,,Universal instantiation,,
Q126695,,Universal quantifier,,Universal quantifier
Q13222579,,Upper bound,Upper bound,Upper bound
Q365832,,Valuation,,Valuation
Q852662,,Value assignment,,
Q338021,,Well-founded relation,,Well-founded relation
Q320577,,Yoneda lemma,Yoneda embedding,Yoneda lemma
Q136080,,ZF,,
Q4724020,,,Algebraic theory,Algebraic theory
Q1086961,,,Bilinear map,Bilinear map
Q444936,,,Canonical,Canonical
Q1208187,,,Diagonal functor,Diagonal functor
Q5358816,,,Element,
Q267903,,,Epic,
Q256355,,,Equivariant map,Intertwiner
Q1379672,,,Evaluation,
Q5500272,,,Free functor,Free object
Q609647,,,Identity,
Q224353,,,Inverse,Inverse
Q1555242,,,Left regular representation,Regular representation
Q370502,,,Map,
Q6899873,,,Monic,
Q161519,,,Permutation,Permutation
Q408620,,,Regular,Regularity
Q1155772,,,Scheme,
Q133250,,,Sequence,Sequence
Q207961,,,Shape,Shape
Q2033899,,,Stone-Cech compactification,Stone-Čech compactification
Q1163016,,,Tensor product,Tensor product of vector spaces
Q356743,,,Topo,
Q369377,,,Total order,Total order
Q1056428,,,Type,Type theory
Q295346,,,Vertex,Vertex
Q595298,Étale space,Pre-sheaf,,Étale space
